Modelo;Threshold;Precisão;Revocação;F1-score;Selecionadas;Cobertura
KNN;0.93;0.7777777777777778;0.0025949953660797036;0.005172732311102901;18;0.0012832394667427105
KNN;0.94;0.75;0.0005560704355885078;0.0011113169105389886;4;0.00028516432594282457
KNN;0.95;0.75;0.0005560704355885078;0.0011113169105389886;4;0.00028516432594282457
Random Forest;0.05;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.06;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.07;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.08;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.09;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.1;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.11;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.12;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.13;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.14;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.15;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Random Forest;0.16;0.3846976611523103;1.0;0.5556413821515012;14024;0.9997861267555429
Random Forest;0.17;0.38509316770186336;0.9998146431881372;0.5560251520461809;14007;0.9985741783702858
Random Forest;0.18;0.38531388531388533;0.9988878591288229;0.5561116557453176;13986;0.997077065659086
Random Forest;0.19;0.38620392944213394;0.9983317886932345;0.5569515536942247;13946;0.9942254223996578
Random Forest;0.2;0.3871083903492978;0.9962928637627433;0.5575726141078838;13885;0.9898766664290297
Random Forest;0.21;0.3880769787295616;0.9942539388322521;0.5582557110891398;13822;0.9853853282954302
Random Forest;0.22;0.38955647804238586;0.9914735866543095;0.5593433023109903;13731;0.9788978398802309
Random Forest;0.23;0.3918958670392705;0.9877664504170528;0.5611541094087296;13598;0.969416126042632
Random Forest;0.24;0.3943609581907454;0.9825764596848934;0.5628284758719542;13442;0.9582947173308619
Random Forest;0.25;0.3979037852510933;0.9781278962001854;0.565685801575816;13262;0.9454623226634348
Random Forest;0.26;0.4019035922628185;0.9705282669138091;0.5684199098952396;13028;0.9287802095957796
Random Forest;0.27;0.4054243628711714;0.9642261353104726;0.5708328761110502;12831;0.9147358665430955
Random Forest;0.28;0.4104096923322174;0.9544022242817424;0.5739925310740761;12546;0.8944179083196692
Random Forest;0.29;0.4144502108336036;0.9473586654309546;0.5766345123258306;12332;0.8791616168817281
Random Forest;0.3;0.4186046511627907;0.9375347544022243;0.5787847579814624;12083;0.8614101375917873
Random Forest;0.31;0.4227587371264562;0.9282669138090824;0.5809407806971754;11846;0.8445141512796749
Random Forest;0.32;0.4282882261679021;0.9210379981464318;0.5846914161322586;11602;0.8271191273971626
Random Forest;0.33;0.4330133004492205;0.9112140871177016;0.5870551707666587;11353;0.8093676481072218
Random Forest;0.34;0.43805990408107864;0.8973123262279888;0.5887145810531437;11051;0.7878377414985386
Random Forest;0.35;0.44281606530006495;0.8848934198331788;0.5902571711177053;10781;0.7685891494973979
Random Forest;0.36;0.4467943221872916;0.8693234476367007;0.5902340800402718;10497;0.7483424823554573
Random Forest;0.37;0.451068837026868;0.8526413345690455;0.5900083370743282;10198;0.7270264489912311
Random Forest;0.38;0.45622587852935204;0.8326227988878592;0.5894626336854537;9846;0.7019319883082626
Random Forest;0.39;0.4609936575052854;0.8083410565338276;0.5871423763042747;9460;0.6744136308547801
Random Forest;0.4;0.4665787159190853;0.7866543095458758;0.5857428748878615;9096;0.648463677193983
Random Forest;0.41;0.47257287124168007;0.7632993512511584;0.5837408746190375;8714;0.6212304840664433
Random Forest;0.42;0.47883246894222653;0.7358665430954587;0.5801549028204004;8291;0.5910743565979896
Random Forest;0.43;0.4849566547679755;0.705097312326228;0.5746657602537956;7844;0.5592072431738789
Random Forest;0.44;0.49122096164235546;0.6741427247451344;0.5683256504414408;7404;0.5278391673201682
Random Forest;0.45;0.49812841923409157;0.6413345690454124;0.5607325176241795;6946;0.4951878519997148
Random Forest;0.46;0.5059116365899191;0.6027803521779426;0.5501141842172037;6428;0.45825907179011904
Random Forest;0.47;0.5142184082113411;0.5664504170528267;0.5390721467630976;5943;0.4236828972695516
Random Forest;0.48;0.5195865070729053;0.531047265987025;0.5252543771198094;5514;0.39309902331218366
Random Forest;0.49;0.5294932699920823;0.49582947173308617;0.5121087393510099;5052;0.3601625436657874
Random Forest;0.5;0.5370971230802509;0.4602409638554217;0.49570772609303254;4623;0.3295786697084195
Random Forest;0.51;0.5412930627654554;0.42520852641334567;0.47627945603654104;4238;0.30213160333642264
Random Forest;0.52;0.550077841203944;0.39295644114921224;0.4584279381554763;3854;0.2747558280459115
Random Forest;0.53;0.557774607703281;0.3623725671918443;0.4393258426966292;3505;0.24987524060740002
Random Forest;0.54;0.5682610072853975;0.3325301204819277;0.4195509822263798;3157;0.22506594425037427
Random Forest;0.55;0.5754052149400987;0.3026876737720111;0.39669622251913034;2838;0.20232408925643403
Random Forest;0.56;0.5871743486973948;0.2715477293790547;0.37135614702154623;2495;0.17787124830683682
Random Forest;0.57;0.5948040109389243;0.24189063948100092;0.3439188298853604;2194;0.15641263277963927
Random Forest;0.58;0.6073490813648293;0.21445783132530122;0.316986301369863;1905;0.1358095102302702
Random Forest;0.59;0.6184130829800121;0.18924930491195552;0.2898098211751348;1651;0.11770157553290084
Random Forest;0.6;0.6328233657858137;0.1686746987951807;0.2663544563149422;1438;0.10251657517644543
Random Forest;0.61;0.6407685881370092;0.14216867469879518;0.23270631067961164;1197;0.08533542453839024
Random Forest;0.62;0.6517175572519084;0.12659870250231697;0.2120130374049356;1048;0.07471305339702003
Random Forest;0.63;0.6690140845070423;0.1056533827618165;0.18248759404514167;852;0.06074000142582163
Random Forest;0.64;0.6789250353606789;0.08897126969416126;0.15732546705998032;707;0.05040279461039424
Random Forest;0.65;0.6872791519434629;0.07210379981464318;0.13051501425935247;566;0.040350752120909675
Random Forest;0.66;0.7049180327868853;0.06376274328081558;0.11694713581506035;488;0.0347900477650246
Random Forest;0.67;0.71712158808933;0.05356811862835959;0.0996895481200414;403;0.028730305838739572
Random Forest;0.68;0.7377521613832853;0.047451343836886005;0.08916753744339952;347;0.02473800527554003
Random Forest;0.69;0.7335526315789473;0.04133456904541242;0.07825934374451658;304;0.021672488771654667
Random Forest;0.7;0.7142857142857143;0.03521779425393883;0.06712594947889065;266;0.018963427675197833
Random Forest;0.71;0.7027027027027027;0.02891566265060241;0.055545664945700554;222;0.015826620089826764
Random Forest;0.72;0.7127659574468085;0.02483781278962002;0.04800286584273688;188;0.013402723319312753
