Feature transformada;Coeficiente;Exp(Coeficiente);Magnitude
cat__Assunto_Seguro de Vida;0.15156757400768223;1.1636569321154333;0.15156757400768223
cat__Como Comprou Contratou_infrequent_sklearn;-0.14915496851089105;0.8614356091610526;0.14915496851089105
cat__Problema_Cobrança de compra/saque não reconhecido;0.14826309039827062;1.159817993204943;0.14826309039827062
cat__Cidade_Campos dos Goytacazes;0.1472359082134811;1.1586272604791414;0.1472359082134811
cat__Cidade_Santarém;0.14677781446379026;1.1580966221232312;0.14677781446379026
cat__Assunto_Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);-0.14537111688162754;0.8647013282961981;0.14537111688162754
cat__Cidade_Marília;0.1449066692387539;1.1559316812496583;0.1449066692387539
cat__Problema_Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;0.14454947511162414;1.1555188629742736;0.14454947511162414
cat__Cidade_Lauro de Freitas;-0.14237632012956927;0.8672948145694408;0.14237632012956927
cat__Faixa Etária_mais de 70 anos;-0.1413295646787363;0.8682031354560531;0.1413295646787363
cat__UF_TO;-0.1398769244651676;0.8694652387131985;0.1398769244651676
cat__Cidade_Santos;0.13960595263026346;1.1498206257840033;0.13960595263026346
cat__Cidade_Paço do Lumiar;0.137104667449466;1.1469481903798078;0.137104667449466
cat__Cidade_São Paulo;-0.13412376290585046;0.8744818294933948;0.13412376290585046
cat__UF_RJ;-0.1314175652880364;0.8768515551639491;0.1314175652880364
cat__Cidade_Vespasiano;0.13036187125555207;1.1392405671557961;0.13036187125555207
cat__Cidade_Palhoça;-0.13033319261161555;0.8778029047471714;0.13033319261161555
cat__Cidade_Itabuna;-0.12949061185939564;0.8785428362612041;0.12949061185939564
cat__Cidade_Aracaju;0.1294717451091724;1.138226950530211;0.1294717451091724
cat__Cidade_Cotia;0.1282333103956607;1.1368182032636305;0.1282333103956607
cat__Cidade_Sertãozinho;-0.1266812973816491;0.8810144094580935;0.1266812973816491
cat__Cidade_Jaboatão dos Guararapes;0.12627927286560717;1.1345989867519102;0.12627927286560717
cat__Cidade_Volta Redonda;0.1256001829247179;1.1338287535514733;0.1256001829247179
cat__Cidade_Guarujá;-0.12470252258090625;0.8827594645367242;0.12470252258090625
cat__Área_Saúde;0.12452613223099859;1.1326116177419485;0.12452613223099859
cat__Assunto_Plano Odontológico (convênio, autogestão, seguro saúde );0.12452613223099859;1.1326116177419485;0.12452613223099859
cat__Cidade_Vitória da Conquista;0.12242950287034209;1.130239438629138;0.12242950287034209
cat__Grupo Problema_Saúde e Segurança;-0.11896152541173323;0.8878419594586611;0.11896152541173323
cat__Problema_Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;-0.11896152541173323;0.8878419594586611;0.11896152541173323
cat__Grupo Problema_Informação;-0.11755540483217124;0.8890912504302881;0.11755540483217124
cat__Cidade_Jundiaí;0.11617319324141262;1.12319038427205;0.11617319324141262
cat__Cidade_Chapecó;-0.11288838471298494;0.8932503549469222;0.11288838471298494
cat__Cidade_Pinhais;-0.11262707332134253;0.8934838019401093;0.11262707332134253
cat__Problema_SAC - Descortesia / despreparo / demora;-0.11261931567598328;0.8934907332974645;0.11261931567598328
cat__Cidade_Betim;-0.11246015740548007;0.8936329510545526;0.11246015740548007
cat__Cidade_Ribeirão das Neves;0.11091303393990577;1.1172977356471996;0.11091303393990577
cat__Cidade_Praia Grande;0.10755890334495058;1.1135564510145302;0.10755890334495058
cat__Cidade_Manaus;0.10576502798795488;1.1115606601736379;0.10576502798795488
cat__Cidade_Colombo;0.10352324347261149;1.1090715717401791;0.10352324347261149
cat__Área_Serviços Financeiros;-0.10348136588845197;0.9016928248299889;0.10348136588845197
